OBJECTID,LOC_NAME,FCSUBTYPE,SURVEY_YEAR,TRAIL,ROAD,NOTES,ACRES,DATAACCESS,MAPMETHOD,SOURCEDATE,XYACCURACY,VALID_RESULT,CREATEBY,GlobalID,Shape__Area,Shape__Length
1,Land-slide 571,50000,2013,Kanati Fork Quiet Walkway,Newfound Gap Road South,From state of NC: Field data collected on 02/14/2013 and GE 03/18/2013 imagery used for mapping; G:\LR\GEO\LANDSLIDE\GSMNP\441 Slide 2013_01_16,3.38401002,Internal NPS Only,UNKN,,Unknown,Raw,GRSM_GIS,a4ddd7d4-f08b-45e6-acb0-0b8d327c6b14,1.36E-06,0.006986831
2,Land-slide 572,50000,2013,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),"This could be a legacy event, and year of occurence is unknown.",0.37377404,Internal NPS Only,UNKN,,Unknown,Raw,GRSM_GIS,e80b735a-2fef-4696-8b31-191cce12b99a,1.51E-07,0.002833164
3,Land-slide 573,50000,2013,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),"This could be a legacy event, and year of occurence is unknown.",0.66278923,Internal NPS Only,UNKN,,Unknown,Raw,GRSM_GIS,f7e7514f-ee1a-49d9-ba1d-9e69cdbdca79,2.67E-07,0.007456825
4,Land-slide 574,50000,2013,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),"This could be a legacy event, and year of occurence is unknown.",0.96194461,Internal NPS Only,UNKN,,Unknown,Raw,GRSM_GIS,0282fa50-a974-4ed3-88ce-a29e416050c0,3.88E-07,0.002904278
5,Land-slide 575,50000,2012,,Newfound Gap Road South,,1.09941359,Internal NPS Only,UNKN,,Unknown,Raw,GRSM_GIS,c18b66e5-9c64-4290-8526-19ddae8d13f0,4.43E-07,0.003825675
6,Land-slide 579,50000,2006,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Occurred btwn 1998 and 2006,1.74679327,Internal NPS Only,UNKN,,Unknown,Raw,GRSM_GIS,41c2837a-14f9-48b3-886c-d9d752a1fb25,7.04E-07,0.009212359
7,Land-slide 580,50000,2013,Appalachian Trail,Ramsey Cascades Trailhead Parking,"This could be a legacy event, and year of occurence is unknown.",6.47683876,Internal NPS Only,UNKN,,Unknown,Raw,GRSM_GIS,7b3786bf-5f01-451c-aa3c-c8aca52daec8,2.61E-06,0.02115249
8,Land-slide 581,50000,2013,Appalachian Trail,Ramsey Cascades Trailhead Parking,"This could be a legacy event, and year of occurence is unknown.",1.30973379,Internal NPS Only,UNKN,,Unknown,Raw,GRSM_GIS,ab099714-cdf1-4c1a-a8da-9d910ed6d8e7,5.28E-07,0.004955755
9,Land-slide 582,50000,2013,Appalachian Trail,Straight Fork Road,"This could be a legacy event, and year of occurence is unknown.",0.97186766,Internal NPS Only,UNKN,,Unknown,Raw,GRSM_GIS,3c0478bc-2e05-4739-8319-3cfffefe2352,3.91E-07,0.003860114
10,Land-slide 583,50000,2013,Appalachian Trail,Straight Fork Road,"This could be a legacy event, and year of occurence is unknown.",0.34238066,Internal NPS Only,UNKN,,Unknown,Raw,GRSM_GIS,e911d354-ab4b-4e8e-b79b-678e78de0ab3,1.38E-07,0.001817931
